No,provinsi,Sungai,2017,2018,2019,2020,2021,2022
119,MALUKU,Way Apo,Cemar Berat,Cemar Berat,Cemar Berat,Cemar Berat,,
120,MALUKU UTARA,Tabobo,Cemar SedangCemar Berat,Cemar SedangCemar Berat,Cemar Sedang,Cemar Sedang,Cemar Ringan,Cemar Ringan
121,MALUKU UTARA,Tanjung Buli,Cemar SedangCemar Berat,Cemar Berat,Cemar Berat,Cemar Berat,Cemar Ringan,Cemar Ringan
122,MALUKU UTARA,Aketajawe,Cemar Sedang,Cemar Sedang,Cemar Sedang,Cemar Sedang,Cemar Ringan,Cemar Ringan
123,PAPUA BARAT,Remu,Cemar SedangCemar Berat,Cemar Ringan  Cemar Sedang,Cemar Ringan  Cemar Sedang,Cemar RinganCemar Sedang,Cemar Ringan,Cemar Ringan
124,PAPUA BARAT,Kali Mati,,,,,,Memenuhi
125,PAPUA BARAT,Maruni,,,,,Cemar Ringan,Cemar Ringan
126,PAPUA,Fly,Cemar Sedang,,,,,
127,PAPUA,Bian,,Cemar Ringan,Cemar Ringan,Cemar Ringan,Cemar Ringan,Cemar Ringan
128,PAPUA,Danau Sentani,,,,,,Cemar Ringan
